dataset	mag_id	presence_class	v3v4_annotated_cds_count	v3v4_non_hypothetical_cds_count	v3v4_key_products_top5	v3v4_key_ec_top5	v3v4_key_cog_top5	full_annotated_cds_count	full_non_hypothetical_cds_count	full_key_products_top5	full_key_ec_top5	full_key_cog_top5
Agelas	odAgeOroi1.Dehalococcoidia_22.1.primary	both	18	5	DNA polymerase I (n=1) | Nucleoside triphosphate pyrophosphohydrolase/pyrophosphatase MazG (n=1) | Acetolactate synthase isozyme 3 large subunit (n=1) | Glutamyl-tRNA(Gln) amidotransferase subunit A (n=1) | Aminopyrimidine aminohydrolase (n=1)	2.7.7.7 (n=1) | 3.6.1.1 (n=1) | 2.2.1.6 (n=1) | 6.3.5.7 (n=1) | 3.5.99.2 (n=1)	COG0258 (n=1) | COG3956 (n=1) | COG0028 (n=1) | COG0154 (n=1) | COG0819 (n=1)	18	5	DNA polymerase I (n=1) | Nucleoside triphosphate pyrophosphohydrolase/pyrophosphatase MazG (n=1) | Acetolactate synthase isozyme 3 large subunit (n=1) | Glutamyl-tRNA(Gln) amidotransferase subunit A (n=1) | Aminopyrimidine aminohydrolase (n=1)	2.7.7.7 (n=1) | 3.6.1.1 (n=1) | 2.2.1.6 (n=1) | 6.3.5.7 (n=1) | 3.5.99.2 (n=1)	COG0258 (n=1) | COG3956 (n=1) | COG0028 (n=1) | COG0154 (n=1) | COG0819 (n=1)
Agelas	odAgeOroi1.Gammaproteobacteria_1.1.primary	both	4499	1511	putative protein (n=22) | Prophage integrase IntA (n=14) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=10) | Caprolactamase subunit alpha (n=9) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=9)	3.1.-.- (n=24) | 3.5.2.- (n=19) | 7.5.2.- (n=13) | 7.1.1.- (n=12) | 1.1.1.100 (n=10)	COG3842 (n=16) | COG0582 (n=14) | COG1028 (n=13) | COG1373 (n=11) | COG0765 (n=10)	4499	1511	putative protein (n=22) | Prophage integrase IntA (n=14) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=10) | Caprolactamase subunit alpha (n=9) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=9)	3.1.-.- (n=24) | 3.5.2.- (n=19) | 7.5.2.- (n=13) | 7.1.1.- (n=12) | 1.1.1.100 (n=10)	COG3842 (n=16) | COG0582 (n=14) | COG1028 (n=13) | COG1373 (n=11) | COG0765 (n=10)
Agelas	odAgeOroi1.Gammaproteobacteria_10.1.primary	full_only						2418	1018	Arylsulfatase (n=9) | putative protein (n=8) | Ulvan-active sulfatase (n=7) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=6) | Iron and copper transporter IacT (n=6)	3.1.-.- (n=14) | 7.1.1.- (n=13) | 3.1.6.- (n=11) | 7.6.2.- (n=11) | 3.1.6.1 (n=9)	COG3119 (n=11) | COG1136 (n=6) | COG4773 (n=6) | COG1373 (n=6) | COG2159 (n=5)
Agelas	odAgeOroi1.Gammaproteobacteria_12.1.primary	both	500	233	putative protein (n=3) | Chaperone protein ClpB (n=2) | N5-carboxyaminoimidazole ribonucleotide mutase (n=2) | Glutathione import ATP-binding protein GsiA (n=2) | Oligopeptide transport ATP-binding protein OppF (n=2)	2.7.7.6 (n=3) | 3.4.16.4 (n=2) | 6.3.5.- (n=2) | 5.4.99.18 (n=2) | 7.4.2.10 (n=2)	COG0316 (n=3) | COG0601 (n=3) | COG0542 (n=2) | COG0050 (n=2) | COG0041 (n=2)	500	233	putative protein (n=3) | Chaperone protein ClpB (n=2) | N5-carboxyaminoimidazole ribonucleotide mutase (n=2) | Glutathione import ATP-binding protein GsiA (n=2) | Oligopeptide transport ATP-binding protein OppF (n=2)	2.7.7.6 (n=3) | 3.4.16.4 (n=2) | 6.3.5.- (n=2) | 5.4.99.18 (n=2) | 7.4.2.10 (n=2)	COG0316 (n=3) | COG0601 (n=3) | COG0542 (n=2) | COG0050 (n=2) | COG0041 (n=2)
Agelas	odAgeOroi1.Gammaproteobacteria_16.1.primary	both	5320	2085	putative protein (n=25) | Putative transposase InsK for insertion sequence element IS150 (n=23) | Caprolactamase subunit beta (n=12) | Caprolactamase subunit alpha (n=11) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=11)	3.1.-.- (n=42) | 3.5.2.- (n=26) | 1.-.-.- (n=15) | 7.5.2.- (n=14) | 7.1.1.- (n=13)	COG2801 (n=23) | COG3842 (n=22) | COG1028 (n=22) | COG0601 (n=14) | COG0747 (n=14)	5320	2085	putative protein (n=25) | Putative transposase InsK for insertion sequence element IS150 (n=23) | Caprolactamase subunit beta (n=12) | Caprolactamase subunit alpha (n=11) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=11)	3.1.-.- (n=42) | 3.5.2.- (n=26) | 1.-.-.- (n=15) | 7.5.2.- (n=14) | 7.1.1.- (n=13)	COG2801 (n=23) | COG3842 (n=22) | COG1028 (n=22) | COG0601 (n=14) | COG0747 (n=14)
Agelas	odAgeOroi1.Gammaproteobacteria_19.1.primary	both	4024	1466	putative protein (n=19) | Putative transposase InsK for insertion sequence element IS150 (n=12) | High-affinity branched-chain amino acid transport system permease protein LivH (n=11) | Caprolactamase subunit alpha (n=11) | Prophage integrase IntA (n=10)	3.1.-.- (n=34) | 3.5.2.- (n=22) | 7.1.1.- (n=12) | 1.-.-.- (n=10) | 7.5.2.- (n=10)	COG1028 (n=12) | COG2801 (n=12) | COG0559 (n=11) | COG3842 (n=11) | COG0601 (n=10)	4024	1466	putative protein (n=19) | Putative transposase InsK for insertion sequence element IS150 (n=12) | High-affinity branched-chain amino acid transport system permease protein LivH (n=11) | Caprolactamase subunit alpha (n=11) | Prophage integrase IntA (n=10)	3.1.-.- (n=34) | 3.5.2.- (n=22) | 7.1.1.- (n=12) | 1.-.-.- (n=10) | 7.5.2.- (n=10)	COG1028 (n=12) | COG2801 (n=12) | COG0559 (n=11) | COG3842 (n=11) | COG0601 (n=10)
Agelas	odAgeOroi1.Gammaproteobacteria_21.1.primary	both	507	267	putative protein (n=3) | Lipoprotein-releasing system ATP-binding protein LolD (n=2) | CRISPR-associated endonuclease Cas6 (n=2) | Chondroitin synthase (n=2) | 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (n=2)	3.1.-.- (n=7) | 7.6.2.- (n=3) | 3.6.5.- (n=2) | 2.7.6.3 (n=2) | 3.2.2.- (n=2)	COG0801 (n=2) | COG2221 (n=2) | COG1136 (n=2) | COG0028 (n=2) | COG0436 (n=2)	507	267	putative protein (n=3) | Lipoprotein-releasing system ATP-binding protein LolD (n=2) | CRISPR-associated endonuclease Cas6 (n=2) | Chondroitin synthase (n=2) | 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (n=2)	3.1.-.- (n=7) | 7.6.2.- (n=3) | 3.6.5.- (n=2) | 2.7.6.3 (n=2) | 3.2.2.- (n=2)	COG0801 (n=2) | COG2221 (n=2) | COG1136 (n=2) | COG0028 (n=2) | COG0436 (n=2)
Agelas	odAgeOroi1.Gammaproteobacteria_22.1.primary	both	3690	1239	putative protein (n=20) | Prophage integrase IntA (n=12) | Putative transposase InsK for insertion sequence element IS150 (n=11) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=9) | Glycine betaine methyltransferase (n=6)	3.1.-.- (n=27) | 7.1.1.- (n=8) | 2.2.1.6 (n=7) | 3.6.4.12 (n=7) | 7.6.2.- (n=7)	COG0582 (n=14) | COG1028 (n=13) | COG1373 (n=12) | COG2801 (n=11) | COG0410 (n=9)	3690	1239	putative protein (n=20) | Prophage integrase IntA (n=12) | Putative transposase InsK for insertion sequence element IS150 (n=11) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=9) | Glycine betaine methyltransferase (n=6)	3.1.-.- (n=27) | 7.1.1.- (n=8) | 2.2.1.6 (n=7) | 3.6.4.12 (n=7) | 7.6.2.- (n=7)	COG0582 (n=14) | COG1028 (n=13) | COG1373 (n=12) | COG2801 (n=11) | COG0410 (n=9)
Agelas	odAgeOroi1.Gammaproteobacteria_24.1.primary	both	2288	1010	Arylsulfatase (n=9) | putative protein (n=8) | Iron and copper transporter IacT (n=7) | N-substituted formamide deformylase (n=6) | Ulvan-active sulfatase (n=6)	7.1.1.- (n=13) | 3.1.-.- (n=12) | 3.1.6.- (n=10) | 7.6.2.- (n=10) | 3.1.6.1 (n=9)	COG3119 (n=10) | COG4773 (n=7) | COG1373 (n=6) | COG1136 (n=6) | COG1638 (n=5)	2288	1010	Arylsulfatase (n=9) | putative protein (n=8) | Iron and copper transporter IacT (n=7) | N-substituted formamide deformylase (n=6) | Ulvan-active sulfatase (n=6)	7.1.1.- (n=13) | 3.1.-.- (n=12) | 3.1.6.- (n=10) | 7.6.2.- (n=10) | 3.1.6.1 (n=9)	COG3119 (n=10) | COG4773 (n=7) | COG1373 (n=6) | COG1136 (n=6) | COG1638 (n=5)
Agelas	odAgeOroi1.Gammaproteobacteria_25.1.primary	both	3356	1707	Iron and copper transporter IacT (n=28) | Putative transposase InsK for insertion sequence element IS150 (n=24) | putative protein (n=21) | Insertion sequence IS5376 putative ATP-binding protein (n=8) | L-lactate transporter (n=7)	3.1.-.- (n=23) | 3.5.2.- (n=12) | 7.1.1.- (n=11) | 1.5.3.1 (n=9) | 1.1.1.- (n=9)	COG4773 (n=28) | COG2801 (n=24) | COG1028 (n=16) | COG1373 (n=11) | COG1024 (n=9)	3356	1707	Iron and copper transporter IacT (n=28) | Putative transposase InsK for insertion sequence element IS150 (n=24) | putative protein (n=21) | Insertion sequence IS5376 putative ATP-binding protein (n=8) | L-lactate transporter (n=7)	3.1.-.- (n=23) | 3.5.2.- (n=12) | 7.1.1.- (n=11) | 1.5.3.1 (n=9) | 1.1.1.- (n=9)	COG4773 (n=28) | COG2801 (n=24) | COG1028 (n=16) | COG1373 (n=11) | COG1024 (n=9)
Agelas	odAgeOroi1.Gammaproteobacteria_26.1.primary	v3v4_only	1793	892	Antitoxin SocA (n=7) | DNA methyltransferase CcrM (n=7) | O-antigen biosynthesis glycosyltransferase WbnK (n=7) | putative protein (n=6) | DNA adenine methyltransferase YhdJ (n=5)	2.1.1.72 (n=18) | 2.4.1.308 (n=7) | 7.-.-.- (n=6) | 7.5.2.- (n=6) | 7.2.1.1 (n=6)	COG1175 (n=8) | COG0395 (n=7) | COG1028 (n=6) | COG3842 (n=5) | COG2189 (n=5)					
Agelas	odAgeOroi1.Gammaproteobacteria_27.1.primary	both	863	420	Iron and copper transporter IacT (n=5) | Insertion sequence IS5376 putative ATP-binding protein (n=5) | Arylsulfatase (n=4) | putative protein (n=4) | Putative transposase InsK for insertion sequence element IS150 (n=3)	3.1.-.- (n=7) | 1.5.3.1 (n=5) | 3.1.6.1 (n=4) | 2.7.7.6 (n=3) | 2.2.1.6 (n=3)	COG4773 (n=5) | COG2801 (n=3) | COG0183 (n=3) | COG0043 (n=3) | COG2814 (n=3)	863	420	Iron and copper transporter IacT (n=5) | Insertion sequence IS5376 putative ATP-binding protein (n=5) | Arylsulfatase (n=4) | putative protein (n=4) | Putative transposase InsK for insertion sequence element IS150 (n=3)	3.1.-.- (n=7) | 1.5.3.1 (n=5) | 3.1.6.1 (n=4) | 2.7.7.6 (n=3) | 2.2.1.6 (n=3)	COG4773 (n=5) | COG2801 (n=3) | COG0183 (n=3) | COG0043 (n=3) | COG2814 (n=3)
Agelas	odAgeOroi1.Gammaproteobacteria_38.1.primary	v3v4_only	3000	1158	putative protein (n=19) | Putative transposase InsK for insertion sequence element IS150 (n=11) | 4-methylaminobutanoate oxidase (formaldehyde-forming) (n=10) | Glycine betaine methyltransferase (n=8) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=6)	3.1.-.- (n=17) | 1.5.3.19 (n=10) | 1.-.-.- (n=9) | 2.1.1.376 (n=8) | 7.5.2.- (n=7)	COG1373 (n=12) | COG2801 (n=11) | COG1028 (n=11) | COG3842 (n=10) | COG0765 (n=10)					
Agelas	odAgeOroi1.Gammaproteobacteria_41.1.primary	v3v4_only	1336	628	putative protein (n=11) | Carnitine monooxygenase oxygenase subunit (n=10) | Ectoine hydrolase (n=6) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=5) | Glutathione transport system permease protein GsiD (n=4)	1.14.13.239 (n=10) | 3.1.-.- (n=7) | 1.3.99.- (n=7) | 3.5.4.44 (n=6) | 3.5.2.- (n=6)	COG1028 (n=8) | COG4638 (n=8) | COG0006 (n=7) | COG1373 (n=6) | COG1960 (n=6)					
Agelas	odAgeOroi1.Gammaproteobacteria_42.1.primary	both	390	185	Spermidine/putrescine import ATP-binding protein PotA (n=3) | Spermidine/putrescine transport system permease protein PotB (n=3) | Putative transposase InsK for insertion sequence element IS150 (n=3) | Ectoine hydrolase (n=3) | Endonuclease III (n=2)	7.6.2.11 (n=3) | 3.5.4.44 (n=3) | 2.7.7.6 (n=3) | 3.1.-.- (n=3) | 4.2.99.18 (n=2)	COG1176 (n=3) | COG3842 (n=3) | COG0006 (n=3) | COG2801 (n=3) | COG0177 (n=2)	390	185	Spermidine/putrescine import ATP-binding protein PotA (n=3) | Spermidine/putrescine transport system permease protein PotB (n=3) | Putative transposase InsK for insertion sequence element IS150 (n=3) | Ectoine hydrolase (n=3) | Endonuclease III (n=2)	7.6.2.11 (n=3) | 3.5.4.44 (n=3) | 2.7.7.6 (n=3) | 3.1.-.- (n=3) | 4.2.99.18 (n=2)	COG1176 (n=3) | COG3842 (n=3) | COG0006 (n=3) | COG2801 (n=3) | COG0177 (n=2)
Agelas	odAgeOroi1.Longimicrobiales_1.1.primary	v3v4_only	1543	616	putative protein (n=9) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=5) | TonB-dependent receptor P3 (n=4) | putative protein adenylyltransferase MntA (n=3) | N-acyl-D-glutamate deacylase (n=3)	7.1.1.- (n=9) | 7.6.2.- (n=8) | 2.8.1.7 (n=6) | 7.1.1.9 (n=6) | 3.1.-.- (n=6)	COG0520 (n=5) | COG1028 (n=5) | COG0405 (n=5) | COG4771 (n=4) | COG3653 (n=4)					
Agelas	odAgeOroi1.Longimicrobiales_4.1.primary	full_only						1163	533	putative protein (n=5) | N-acetylmuramic acid 6-phosphate etherase (n=4) | Short-chain-enoyl-CoA hydratase (n=3) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=3) | L-threonine ammonia-lyase (n=3)	7.1.1.- (n=9) | 7.6.2.- (n=8) | 3.1.-.- (n=6) | 4.2.1.126 (n=4) | 3.4.24.- (n=4)	COG1024 (n=5) | COG1595 (n=4) | COG2103 (n=4) | COG0626 (n=4) | COG0823 (n=3)
Agelas	odAgeOroi1.Poribacteria_2.1.primary	full_only						3209	996	RNA-guided DNA endonuclease TnpB (n=30) | Myo-inositol 2-dehydrogenase (n=10) | Arylsulfatase (n=10) | putative protein (n=9) | Ulvan-active sulfatase (n=8)	3.1.21.- (n=30) | 7.6.2.- (n=18) | 2.1.1.72 (n=12) | 1.1.1.- (n=12) | 3.1.-.- (n=11)	COG0675 (n=30) | COG0673 (n=23) | COG4948 (n=20) | COG3119 (n=20) | COG1028 (n=11)
Agelas	odAgeOroi1.Pseudomonadales_12.1.primary	both	2752	1132	putative protein (n=34) | Alpha-ketoglutarate-dependent taurine dioxygenase (n=6) | Succinate--glutarate CoA-transferase (n=6) | putative ABC transporter ATP-binding protein YknY (n=6) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=4)	7.6.2.- (n=16) | 1.3.99.- (n=14) | 7.1.1.- (n=14) | 1.-.-.- (n=12) | 1.1.1.- (n=10)	COG1960 (n=15) | COG1028 (n=14) | COG1373 (n=14) | COG1024 (n=13) | COG2141 (n=13)	2752	1132	putative protein (n=34) | Alpha-ketoglutarate-dependent taurine dioxygenase (n=6) | Succinate--glutarate CoA-transferase (n=6) | putative ABC transporter ATP-binding protein YknY (n=6) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=4)	7.6.2.- (n=16) | 1.3.99.- (n=14) | 7.1.1.- (n=14) | 1.-.-.- (n=12) | 1.1.1.- (n=10)	COG1960 (n=15) | COG1028 (n=14) | COG1373 (n=14) | COG1024 (n=13) | COG2141 (n=13)
Agelas	odAgeOroi1.Pseudomonadales_13.1.primary	both	2860	1293	Iron and copper transporter IacT (n=23) | putative protein (n=20) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=7) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=5) | Short-chain-enoyl-CoA hydratase (n=4)	1.3.99.- (n=19) | 1.-.-.- (n=16) | 7.1.1.- (n=12) | 1.1.1.- (n=9) | 3.1.-.- (n=9)	COG1028 (n=25) | COG4773 (n=23) | COG1960 (n=20) | COG1024 (n=19) | COG0318 (n=9)	2860	1293	Iron and copper transporter IacT (n=23) | putative protein (n=20) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=7) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=5) | Short-chain-enoyl-CoA hydratase (n=4)	1.3.99.- (n=19) | 1.-.-.- (n=16) | 7.1.1.- (n=12) | 1.1.1.- (n=9) | 3.1.-.- (n=9)	COG1028 (n=25) | COG4773 (n=23) | COG1960 (n=20) | COG1024 (n=19) | COG0318 (n=9)
Agelas	odAgeOroi1.Pseudomonadales_15.1.primary	both	472	197	putative protein (n=6) | DNA-binding transcriptional regulator NtrC (n=2) | putative oxidoreductase (n=2) | 4-hydroxy-tetrahydrodipicolinate synthase (n=2) | Succinate--CoA ligase [ADP-forming] subunit beta (n=1)	3.1.11.5 (n=3) | 2.7.7.6 (n=3) | 6.2.1.5 (n=2) | 1.-.-.- (n=2) | 2.7.13.3 (n=2)	COG1024 (n=5) | COG1960 (n=3) | COG0745 (n=2) | COG1028 (n=2) | COG0367 (n=2)	472	197	putative protein (n=6) | DNA-binding transcriptional regulator NtrC (n=2) | putative oxidoreductase (n=2) | 4-hydroxy-tetrahydrodipicolinate synthase (n=2) | Succinate--CoA ligase [ADP-forming] subunit beta (n=1)	3.1.11.5 (n=3) | 2.7.7.6 (n=3) | 6.2.1.5 (n=2) | 1.-.-.- (n=2) | 2.7.13.3 (n=2)	COG1024 (n=5) | COG1960 (n=3) | COG0745 (n=2) | COG1028 (n=2) | COG0367 (n=2)
Agelas	odAgeOroi1.Pseudomonadales_2.1.primary	v3v4_only	3497	1331	putative protein (n=27) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=6) | Succinate--glutarate CoA-transferase (n=6) | Macrolide export ATP-binding/permease protein MacB (n=6) | Putative coenzyme F420-dependent oxidoreductase (n=5)	7.6.2.- (n=18) | 1.3.99.- (n=13) | 1.1.1.- (n=12) | 1.-.-.- (n=11) | 3.1.-.- (n=10)	COG1024 (n=18) | COG1028 (n=16) | COG1960 (n=14) | COG1373 (n=13) | COG2141 (n=10)					
Agelas	odAgeOroi1.Pseudomonadales_22.1.primary	both	3217	1476	putative protein (n=36) | Short-chain-enoyl-CoA hydratase (n=9) | Succinate--glutarate CoA-transferase (n=7) | Iron and copper transporter IacT (n=7) | Putative coenzyme F420-dependent oxidoreductase (n=6)	1.3.99.- (n=22) | 1.-.-.- (n=15) | 7.1.1.- (n=14) | 3.1.-.- (n=11) | 1.1.1.- (n=10)	COG1960 (n=23) | COG1024 (n=20) | COG1028 (n=17) | COG2141 (n=15) | COG1804 (n=14)	3217	1476	putative protein (n=36) | Short-chain-enoyl-CoA hydratase (n=9) | Succinate--glutarate CoA-transferase (n=7) | Iron and copper transporter IacT (n=7) | Putative coenzyme F420-dependent oxidoreductase (n=6)	1.3.99.- (n=22) | 1.-.-.- (n=15) | 7.1.1.- (n=14) | 3.1.-.- (n=11) | 1.1.1.- (n=10)	COG1960 (n=23) | COG1024 (n=20) | COG1028 (n=17) | COG2141 (n=15) | COG1804 (n=14)
Agelas	odAgeOroi1.Pseudomonadales_32.1.primary	both	4009	1616	putative protein (n=46) | Short-chain-enoyl-CoA hydratase (n=8) | Succinate--glutarate CoA-transferase (n=8) | putative ABC transporter ATP-binding protein YknY (n=8) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=7)	3.1.-.- (n=24) | 7.6.2.- (n=20) | 1.3.99.- (n=17) | 1.1.1.- (n=14) | 1.-.-.- (n=14)	COG1028 (n=25) | COG1024 (n=21) | COG1960 (n=19) | COG1804 (n=17) | COG2141 (n=17)	4009	1616	putative protein (n=46) | Short-chain-enoyl-CoA hydratase (n=8) | Succinate--glutarate CoA-transferase (n=8) | putative ABC transporter ATP-binding protein YknY (n=8) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=7)	3.1.-.- (n=24) | 7.6.2.- (n=20) | 1.3.99.- (n=17) | 1.1.1.- (n=14) | 1.-.-.- (n=14)	COG1028 (n=25) | COG1024 (n=21) | COG1960 (n=19) | COG1804 (n=17) | COG2141 (n=17)
Agelas	odAgeOroi1.Pseudomonadales_7.1.primary	both	1284	515	Iron and copper transporter IacT (n=14) | putative protein (n=10) | Long-chain-fatty-acid--CoA ligase (n=7) | Insertion sequence IS5376 putative ATP-binding protein (n=5) | 1,2-epoxyphenylacetyl-CoA isomerase (n=3)	1.3.99.- (n=8) | 6.2.1.3 (n=8) | 3.1.-.- (n=6) | 3.5.2.- (n=6) | 1.1.1.- (n=6)	COG1028 (n=15) | COG4773 (n=14) | COG0318 (n=10) | COG1960 (n=9) | COG1024 (n=9)	1284	515	Iron and copper transporter IacT (n=14) | putative protein (n=10) | Long-chain-fatty-acid--CoA ligase (n=7) | Insertion sequence IS5376 putative ATP-binding protein (n=5) | 1,2-epoxyphenylacetyl-CoA isomerase (n=3)	1.3.99.- (n=8) | 6.2.1.3 (n=8) | 3.1.-.- (n=6) | 3.5.2.- (n=6) | 1.1.1.- (n=6)	COG1028 (n=15) | COG4773 (n=14) | COG0318 (n=10) | COG1960 (n=9) | COG1024 (n=9)
Agelas	odAgeOroi1.Vicinamibacterales_3.1.primary	both	4902	1369	Quinoprotein glucose dehydrogenase (n=18) | putative protein (n=16) | Insertion sequence IS5376 putative ATP-binding protein (n=12) | Protein (n=10) | Quinohemoprotein alcohol dehydrogenase ADH-IIG (n=10)	3.1.-.- (n=35) | 1.1.9.1 (n=23) | 7.6.2.- (n=22) | 1.1.5.2 (n=18) | 3.4.24.- (n=15)	COG4993 (n=26) | COG1136 (n=11) | COG1680 (n=9) | COG1960 (n=9) | COG0612 (n=8)	4902	1369	Quinoprotein glucose dehydrogenase (n=18) | putative protein (n=16) | Insertion sequence IS5376 putative ATP-binding protein (n=12) | Protein (n=10) | Quinohemoprotein alcohol dehydrogenase ADH-IIG (n=10)	3.1.-.- (n=35) | 1.1.9.1 (n=23) | 7.6.2.- (n=22) | 1.1.5.2 (n=18) | 3.4.24.- (n=15)	COG4993 (n=26) | COG1136 (n=11) | COG1680 (n=9) | COG1960 (n=9) | COG0612 (n=8)
Agelas	odAgeOroi1.Vicinamibacterales_5.1.primary	both	2969	1027	putative protein (n=18) | Quinoprotein glucose dehydrogenase (n=13) | Quinohemoprotein alcohol dehydrogenase ADH-IIG (n=12) | Quinate/shikimate dehydrogenase (quinone) (n=12) | Quinohemoprotein alcohol dehydrogenase ADH IIB (n=8)	1.1.9.1 (n=22) | 3.1.-.- (n=18) | 1.1.5.2 (n=13) | 7.6.2.- (n=12) | 1.1.5.8 (n=12)	COG4993 (n=25) | COG0438 (n=6) | COG1136 (n=6) | COG0612 (n=6) | COG1373 (n=5)	2969	1027	putative protein (n=18) | Quinoprotein glucose dehydrogenase (n=13) | Quinohemoprotein alcohol dehydrogenase ADH-IIG (n=12) | Quinate/shikimate dehydrogenase (quinone) (n=12) | Quinohemoprotein alcohol dehydrogenase ADH IIB (n=8)	1.1.9.1 (n=22) | 3.1.-.- (n=18) | 1.1.5.2 (n=13) | 7.6.2.- (n=12) | 1.1.5.8 (n=12)	COG4993 (n=25) | COG0438 (n=6) | COG1136 (n=6) | COG0612 (n=6) | COG1373 (n=5)
Agelas	odAgeOroi1.Vicinamibacteria_2.1.primary	full_only						274	103	Glutamyl-tRNA(Gln) amidotransferase subunit A (n=3) | Cytochrome c oxidase subunit 3 (n=2) | Elongation factor G (n=2) | DNA-directed RNA polymerase subunit beta' (n=2) | Ribose-5-phosphate isomerase A (n=1)	7.1.1.9 (n=4) | 2.7.7.6 (n=4) | 6.3.5.7 (n=3) | 4.2.1.20 (n=2) | 1.3.5.1 (n=2)	COG0134 (n=2) | COG0436 (n=2) | COG0517 (n=1) | COG0120 (n=1) | COG0151 (n=1)
Oscarella	CATOTD01	v3v4_only	175	49	Type II methyltransferase M.EcoRI (n=1) | Chaperonin GroEL (n=1) | Co-chaperonin GroES (n=1) | Histidine N-alpha-methyltransferase (n=1) | N,N'-diacetyllegionaminic acid synthase (n=1)	2.1.1.72 (n=3) | 1.3.5.1 (n=2) | 2.1.1.- (n=2) | 7.1.2.2 (n=2) | 5.6.1.7 (n=1)	COG4301 (n=1) | COG2089 (n=1) | COG1028 (n=1) | COG3162 (n=1) | COG4147 (n=1)					
Oscarella	ooOscLobu1.Alphaproteobacteria_4.1.primary	both	1258	594	Corrinoid adenosyltransferase (n=2) | Cysteine synthase (n=2) | Tyrosine recombinase XerD (n=2) | Molybdopterin molybdenumtransferase (n=2) | UDP-3-O-acyl-N-acetylglucosamine deacetylase (n=1)	7.1.1.- (n=10) | 3.1.-.- (n=5) | 2.7.7.6 (n=4) | 2.7.7.7 (n=3) | 3.4.16.4 (n=3)	COG0312 (n=2) | COG0621 (n=2) | COG0346 (n=2) | COG0303 (n=2) | COG0604 (n=2)	1258	594	Corrinoid adenosyltransferase (n=2) | Cysteine synthase (n=2) | Tyrosine recombinase XerD (n=2) | Molybdopterin molybdenumtransferase (n=2) | UDP-3-O-acyl-N-acetylglucosamine deacetylase (n=1)	7.1.1.- (n=10) | 3.1.-.- (n=5) | 2.7.7.6 (n=4) | 2.7.7.7 (n=3) | 3.4.16.4 (n=3)	COG0312 (n=2) | COG0621 (n=2) | COG0346 (n=2) | COG0303 (n=2) | COG0604 (n=2)
